alder_corr	count_ind	tot_mort	tot_mort_IO	share_IO
20	469	389383350.77	199590978.9	0.5125822111
21	1125	978251840.33	537843924.71	0.5498010865
22	1951	1649945025.2	760820044.86	0.4611184211
23	3155	2672867564.3	1163860530.6	0.4354351656
24	4715	4075644992.2	1794112816.2	0.4402034082
25	7204	6521805248.1	2769073252.2	0.4245869275
26	10637	9911438679.6	4092071646.5	0.4128635387
27	14047	13642215444	5539892273.9	0.4060845027
28	17450	17689999626	7226260144.4	0.4084940812
29	21394	22270103354	9235797433.1	0.4147173134
30	23445	24962810599	10399749233	0.4166097079
31	26095	28356413528	11758207647	0.4146577858
32	27823	31136815241	13019631786	0.4181426933
33	28786	32423503127	13593033647	0.4192339611
34	29165	33051541225	13973149926	0.4227684824
35	30153	34525241220	14391167070	0.416830312
36	30351	35214644780	14810994364	0.4205919002
37	29986	34878680955	14648205799	0.4199759107
38	29956	34936235248	14626798063	0.4186712724
39	31246	36170682772	14828207414	0.4099509956
40	31866	36716588352	14998813340	0.4085023695
41	33910	39285646448	16084372845	0.4094211067
42	34801	40440670292	16489396122	0.4077428985
43	36349	41928208542	17211161117	0.4104912114
44	36230	41611028862	16882857294	0.4057303498
45	37647	42806788762	17410727041	0.4067281743
46	40602	45985029762	18789218113	0.4085942362
47	40193	45240112409	18418145938	0.4071198093
48	39757	43827919337	17678692456	0.4033659987
49	41399	45332360197	18383329755	0.405523332
50	40419	43721254948	17930003904	0.4100981073
51	37914	39983202407	16015042806	0.4005442746
52	37394	38683386080	15152976297	0.3917179397
53	38327	39620569098	15868188614	0.4005038033
54	40625	40884391484	16475755997	0.4029840093
55	43170	42796916723	17143849731	0.4005860946
56	40893	40019712894	16580742848	0.4143143878
57	39205	36915219844	15326603660	0.4151838652
58	37602	35141604645	15207855374	0.4327592757
59	35223	31517561775	13658633568	0.4333658062
60	33701	29300860765	13197043130	0.4503977967
61	32664	27860904617	13135200603	0.4714563573
62	31023	26014560938	13011041979	0.5001445925
63	30574	25206983221	13253106965	0.5257712456
64	29322	23717301736	13173539864	0.5554400754
65	28656	22877898122	13187557071	0.5764321967
66	27305	21545574614	13004423231	0.6035774615
67	25801	19912028848	12479443798	0.626728893
68	25300	19344040577	12329405715	0.637374889
69	23890	18521876392	12016298080	0.6487624594
70	22518	17383391949	11701343302	0.6731334906
71	22353	17136427872	11762019128	0.6863752012
72	21259	16372829427	11420602313	0.6975338235
73	21590	16821084767	11859308543	0.7050263825
74	21631	16686173794	12078253798	0.7238480161
75	21049	16320006719	11902586943	0.72932488
76	18878	14470729855	10710694779	0.7401627206
77	16590	12672953883	9504377142.1	0.7499733077
78	13948	10652640538	7923335371.3	0.7437907384
79	11922	9127879699.4	6879742428.4	0.7537065184
80	9495	7116524923.9	5446890033	0.765386209
81	8196	6201811694.9	4837278373.3	0.7799782727
82	6979	5240471075.8	4132190263.5	0.7885150407
83	6137	4536641313	3535327715.5	0.779283058
84	5094	3686167638.8	2859456259.2	0.7757260492
85	4008	2918618222.3	2287956226	0.7839176116
86	3280	2308926030.9	1774423136.1	0.7685058388
87	2647	1911995821.4	1511065023.9	0.7903077021
88	2025	1457061120.2	1131071322.3	0.7762689613
89	1635	1158798814.9	915550417.79	0.7900857388
90	3355	2446149542.4	1934156888.9	0.790694459
